park_name,park_long,park_lat,park_state
James A Garfield National Historic Site,81.35086557,41.66486549,OH
Jean Lafitte National Historical Park and Preserve,90.1402241,29.81739855,LA
Jewel Cave National Monument,103.829994,43.73102945,SD
Jimmy Carter National Historic Site,84.41606653,32.03059943,GA
John Day Fossil Beds National Monument,119.8811491,44.62566508,OR
John Fitzgerald Kennedy National Historic Site,71.12323846,42.34693694,MA
John H. Chafee Blackstone River Valley National Heritage Corridor,71.668818,42.201158,MA,RI
John Muir National Historic Site,122.1326097,37.9828422,CA
Johnstown Flood National Memorial,78.77448601,40.34584534,PA
Joshua Tree National Park,115.8398125,33.91418525,CA
Journey Through Hallowed Ground National Heritage Area,77.8056488037109,38.8904075622559,MD,PA,WV,VA
Kalaupapa National Historical Park,156.9511609,21.1731108,HI
Kaloko-Honok&#333;hau National Historical Park,156.0306932,19.68083237,HI
Katahdin Woods and Waters National Monument,68.712287902832,45.9567565917969,ME
Katmai National Park & Preserve,155.0126574,58.62235668,AK
Kenai Fjords National Park,150.106502,59.81804414,AK
Kenilworth Park & Aquatic Gardens,76.94340616,38.91284776,DC
Kennesaw Mountain National Battlefield Park,84.59214186,33.95370717,GA
Keweenaw National Historical Park,88.52275344,47.1792308,MI
Kings Mountain National Military Park,81.38978712,35.13900723,SC
Klondike Gold Rush - Seattle Unit National Historical Park,122.3319664,47.5993663,WA
Klondike Gold Rush National Historical Park,135.2618535,59.61042373,AK
Knife River Indian Villages National Historic Site,101.3860533,47.3540219,ND
Kobuk Valley National Park,159.2002293,67.35631336,AK
Korean War Veterans Memorial,77.04773857,38.88784226,DC
Lake Clark National Park & Preserve,153.55535,60.57405857,AK
Lake Mead National Recreation Area,114.3469067,35.96622528,AZ,NV
Lake Meredith National Recreation Area,101.6820066,35.61926203,TX
Lake Roosevelt National Recreation Area,118.3513713,48.17148735,WA
Lassen Volcanic National Park,121.4075993,40.49354575,CA
Lava Beds National Monument,121.5172189,41.75915823,CA
LBJ Memorial Grove on the Potomac,77.05145832,38.87858036,DC
Lewis & Clark National Historic Trail,95.9245147705078,41.2646141052246,ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA
Lewis and Clark National Historical Park,123.9638583,46.21178735,OR,WA
Lincoln Boyhood National Memorial,86.99656861,38.11817004,IN
Lincoln Home National Historic Site,89.64513397,39.79715642,IL
Lincoln Memorial,77.05017778,38.88927229,DC
Little Bighorn Battlefield National Monument,107.4183614,45.55633048,MT
Little River Canyon National Preserve,85.61734327,34.41461863,AL
Little Rock Central High School National Historic Site,92.29987899,34.7369465,AR
Longfellow House Washington's Headquarters National Historic Site,71.12636956,42.37698854,MA
Lowell National Historical Park,71.31588673,42.6455371,MA
Lower East Side Tenement Museum National Historic Site,73.99001777,40.71861134,NY
Lyndon B Johnson National Historical Park,98.60692433,30.2519655,TX
Maggie L Walker National Historic Site,77.43746979,37.54781499,VA
Maine Acadian Culture,68.4110870361,47.2831115723,ME
Mammoth Cave National Park,86.13090198,37.19760458,KY
Manassas National Battlefield Park,77.5353468,38.81710063,VA
Manhattan Project National Historical Park,100.8429548,39.76948167,NM,WA,TN
Manzanar National Historic Site,118.1547177,36.72559195,CA
Marsh - Billings - Rockefeller National Historical Park,72.53424638,43.63348732,VT
Martin Luther King Jr. Memorial,77.0442195534,38.8862276865,DC
Martin Luther King Jr. National Historical Park,84.37256768,33.75618241,GA
Martin Van Buren National Historic Site,73.70834257,42.36819596,NY
Mary McLeod Bethune Council House National Historic Site,77.03096742,38.90819107,DC
Mesa Verde National Park,108.4624032,37.23908345,CO
Minidoka National Historic Site,114.4449868,42.80586068,ID,WA
Minute Man National Historical Park,71.30738884,42.4562778,MA
Minuteman Missile National Historic Site,102.0272131,43.89558013,SD
Mississippi Delta National Heritage Area,90.4317092895508,33.6042976379395,MS
Mississippi Gulf National Heritage Area,89.1123809814453,30.6482753753662,MS
Mississippi Hills National Heritage Area,89.0573120117188,34.0813598632813,MS
Mississippi National River and Recreation Area,93.04689808,44.87447858,MN
Missouri National Recreational River,97.59077822,42.7882189,SD,NE
Mojave National Preserve,115.5168258,35.12485941,CA
Monocacy National Battlefield,77.39637677,39.36084236,MD
Montezuma Castle National Monument,111.8147857,34.62237771,AZ
Moores Creek National Battlefield,78.11031134,34.45820776,NC
Morristown National Historical Park,74.53455122,40.7650755,NJ
Motor Cities National Heritage Area,83.8187713623047,42.518180847168,MI
Mount Rainier National Park,121.7043885,46.86075416,WA
Mount Rushmore National Memorial,103.4525186,43.88037021,SD
Muir Woods National Monument,122.5808047,37.89658027,CA
Muscle Shoals National Heritage Area,87.4196395874023,34.6414527893066,AL
Natchez National Historical Park,91.39040665,31.54697621,MS
Natchez Trace National Scenic Trail,88.7100104093552,34.3302903330188,AL,MS,TN
Natchez Trace Parkway,89.03092439,33.78002293,AL,MS,TN
National Aviation Heritage Area,84.0711364746094,39.9818229675293,OH
National Capital Parks-East,76.98495791,38.85301412,DC
National Mall and Memorial Parks,77.03586953,38.88162683,DC
National Park of American Samoa,169.8503777,14.22865935,AS
Natural Bridges National Monument,110.0022436,37.6045329,UT
Navajo National Monument,110.5504015,36.71755643,AZ
New Bedford Whaling National Historical Park,70.92322321,41.63540552,MA
New England National Scenic Trail,72.5242767333984,42.2915819136851,MA,CT
New Jersey Pinelands National Reserve,74.62499857,39.93835287,NJ
New Orleans Jazz National Historical Park,90.06749669,29.96303129,LA
New River Gorge National River,80.99956002,37.86878554,WV
Nez Perce National Historical Park,115.8761258,46.07019093,ID,MT,OR,WA
Niagara Falls National Heritage Area,79.0703277587891,43.084789276123,NY
Nicodemus National Historic Site,99.61680329,39.39167606,KS
Ninety Six National Historic Site,82.01636079,34.14273587,SC
Niobrara National Scenic River,99.91870646,42.79413083,NE
Noatak National Preserve,159.831694,68.01027053,AK
North Cascades National Park,121.2069423,48.71171756,WA
Obed Wild & Scenic River,84.5979170501232,36.1056026036731,TN
Ocmulgee National Monument,83.60224853,32.83816576,GA
Oil Region National Heritage Area,79.7526016235352,41.4201164245605,PA
Oklahoma City National Memorial,97.51709193,35.47297978,OK
Olympic National Park,123.6663848,47.80392754,WA
Oregon Caves National Monument & Preserve,123.4018586,42.10319143,OR
Organ Pipe Cactus National Monument,112.8573314,32.03585543,AZ
Overmountain Victory National Historic Trail,81.377,35.14044,NC,SC,TN,VA
Oxon Cove  Park & Oxon Hill Farm,77.01131457,38.80578214,MD
Ozark National Scenic Riverways,91.25709817,37.13968894,MO
Padre Island National Seashore,97.35901135,27.05381186,TX
Palo Alto Battlefield National Historical Park,97.46296072,26.02387351,TX
Parashant Grand Canyon-Parashant National Monument,113.6682797,36.41535465,AZ
Paterson Great Falls National Historical Park,74.18021494,40.91584645,NJ
Pea Ridge National Military Park,94.03468357,36.45438033,AR
Pecos National Historical Park,105.6814684,35.54192238,NM
Pennsylvania Avenue,77.02506554,38.89426856,DC
Perry's Victory & International Peace Memorial,82.8115794,41.65449782,OH
Petersburg National Battlefield,77.47594865,37.19109957,VA
Petrified Forest National Park,109.7877678,34.98387664,AZ
Petroglyph National Monument,106.7491456,35.13915998,NM
Pictured Rocks National Lakeshore,86.31628733,46.56435642,MI
Pinnacles National Park,121.1813607,36.49029208,CA
Pipe Spring National Monument,112.7398567,36.86282666,AZ
Pipestone National Monument,96.32475523,44.01351958,MN
Piscataway Park,77.06659744,38.68679958,MD
Point Reyes National Seashore,122.8797804,38.05511241,CA
Port Chicago Naval Magazine National Memorial,122.0301603,38.05685472,CA
Poverty Point National Monument,91.40829834,32.6424361,LA
President William Jefferson Clinton Birthplace Home National Historic Site,93.59641868,33.66758356,AR
President's Park (White House),77.03654147,38.89541886,DC
Presidio of San Francisco,122.4662415,37.79718395,CA
Prince William Forest Park,77.38910997,38.58589108,VA
Pu`uhonua O H&#333;naunau National Historical Park,155.9008789,19.41268627,HI
Pu`ukohol&#257; Heiau National Historic Site,155.8211629,20.02772186,HI
Pullman National Monument,87.60873824,41.69429163,IL
Rainbow Bridge National Monument,110.9655099,37.07788771,UT
Reconstruction Era National Monument,80.6511077880859,32.3868598937988,SC
Redwood National and State Parks,124.0318129,41.37237268,CA
Richmond National Battlefield Park,77.29107785,37.48774472,VA
Rio Grande Wild & Scenic River,102.5979169,29.52743158,TX
River Raisin National Battlefield Park,83.37620464,41.91291085,MI
Rivers Of Steel National Heritage Area,79.8619613647461,40.2995758056641,PA
Rock Creek Park,77.05002838,38.95125063,DC
Rocky Mountain National Park,105.6972879,40.3556924,CO
Roger Williams National Memorial,71.41056665,41.8298955,RI
Roosevelt Campobello International Park,66.96209908,44.87357167,ME
Rosie the Riveter WWII Home Front National Historical Park,122.360156,37.90999027,CA
Russell Cave National Monument,85.81560314,34.97402063,AL
Sagamore Hill National Historic Site,73.49686438,40.88579128,NY
Saguaro National Park,110.7574974,32.20909636,AZ
Saint Croix Island International Historic Site,67.13363651,45.12858838,ME
Saint Croix National Scenic Riverway,92.36126685,45.70019235,WI,MN
Saint Paul's Church National Historic Site,73.82577276,40.89283511,NY
Saint-Gaudens National Historic Site,72.37333969,43.4997238,NH
Salem Maritime National Historic Site,70.88640867,42.52024529,MA
Salinas Pueblo Missions National Monument,106.2050309,34.35423203,NM
Salt River Bay National Historical Park and Ecological Preserve,64.75519348,17.77908602,VI
San Antonio Missions National Historical Park,98.4289522,29.31262089,TX
San Francisco Maritime National Historical Park,122.4244415,37.81005871,CA
San Juan Island National Historical Park,123.0610277,48.51241933,WA
San Juan National Historic Site,66.11848623,18.46873857,PR
Sand Creek Massacre National Historic Site,102.5169542,38.56414189,CO
Santa Monica Mountains National Recreation Area,118.7708619,34.09777606,CA
Saratoga National Historical Park,73.63386108,42.99522612,NY
Saugus Iron Works National Historic Site,71.0076953,42.46830664,MA
Scotts Bluff National Monument,103.7071351,41.83464193,NE
Selma To Montgomery National Historic Trail,86.72823702,32.27082092,AL
Sequoia & Kings Canyon National Parks,118.587429,36.71277299,CA
Shenandoah National Park,78.46907715,38.49236644,VA
Shenandoah Valley Battlefields National Historic District,78.7985458374023,38.5846176147461,VA
Shiloh National Military Park,88.3421072,35.13850907,TN,MS
Sitka National Historical Park,135.3156876,57.04718173,AK
Sleeping Bear Dunes National Lakeshore,86.02706591,44.92844962,MI
South Carolina National Heritage Corridor,81.5836944580078,33.684154510498,SC
Springfield Armory National Historic Site,72.57967415,42.1086368,MA
Star-Spangled Banner National Historic Trail,76.6034317017,39.2872505188,MD,VA,DC
Statue Of Liberty National Monument,74.04232397,40.69572149,NY
Steamtown National Historic Site,75.67037255,41.40757521,PA
Stones River National Battlefield,86.43078399,35.87608652,TN
Stonewall National Monument,74.0006866455078,40.7337799072266,NY
Sunset Crater Volcano National Monument,111.510376,35.37114323,AZ
Tallgrass Prairie National Preserve,96.5670822,38.44023613,KS
Tennessee Civil War National Heritage Area,86.3433303833008,35.8429870605469,TN
Thaddeus Kosciuszko National Memorial,75.14732045,39.94345312,PA
Theodore Roosevelt Birthplace National Historic Site,73.98903703,40.7386469,NY
Theodore Roosevelt Inaugural National Historic Site,78.87248411,42.90146781,NY
Theodore Roosevelt Island,77.06241918,38.89584162,DC
Theodore Roosevelt National Park,103.4300083,47.17777274,ND
Thomas Edison National Historical Park,74.23821139,40.78549896,NJ
Thomas Jefferson Memorial,77.03632572,38.88101431,DC
Thomas Stone National Historic Site,77.037813,38.52934443,MD
Timpanogos Cave National Monument,111.7093944,40.44039719,UT
Timucuan Ecological & Historic Preserve,81.49950104,30.47251894,FL
Tonto National Monument,111.1135627,33.64842945,AZ
Touro Synagogue National Historic Site,71.31211638,41.48928393,RI
Tule Lake Unit,121.3744818,41.88727902,CA
Tule Springs Fossil Beds National Monument,115.3202223,36.3893217,NV
Tumacácori National Historical Park,111.0385236,31.56120725,AZ
Tupelo National Battlefield,88.73708623,34.25557705,MS
Tuskegee Airmen National Historic Site,85.67983321,32.45538671,AL
Tuskegee Institute National Historic Site,85.70488498,32.42962115,AL
Tuzigoot National Monument,112.0279069,34.77296377,AZ
Ulysses S Grant National Historic Site,90.35169255,38.55182374,MO
Upper Delaware Scenic & Recreational River,75.03861562,41.66172578,NY,PA
Valles Caldera National Preserve,106.5195724,35.91682872,NM
Valley Forge National Historical Park,75.44581889,40.10054985,PA
Vanderbilt Mansion National Historic Site,73.94205557,41.79697937,NY
Vicksburg National Military Park,90.85030186,32.3621286,MS,LA
Vietnam Veterans Memorial,77.04765735,38.89096297,DC
Virgin Islands Coral Reef National Monument,64.70683395,18.28996918,VI
Virgin Islands National Park,64.74194451,18.34279656,VI
Voyageurs National Park,92.8382913,48.48370609,MN
Waco Mammoth National Monument,97.17606143,31.60465887,TX
Walnut Canyon National Monument,111.5024239,35.16822994,AZ
War In The Pacific National Historical Park,144.6922461,13.43795691,GU
Washington Monument,77.03546586,38.88865182,DC
Washita Battlefield National Historic Site,99.70445143,35.62083963,OK
Weir Farm National Historic Site,73.45452542,41.25886268,CT
Wheeling National Heritage Area,80.6968994140625,40.0387420654297,WV
Whiskeytown National Recreation Area,122.6022657,40.61359941,CA
White Sands National Monument,106.3333461,32.77907858,NM
Whitman Mission National Historic Site,118.4629388,46.04119286,WA
William Howard Taft National Historic Site,84.50758951,39.11970352,OH
Wilson's Creek National Battlefield,93.40986704,37.1000127,MO
Wind Cave National Park,103.4394709,43.58012365,SD
Wolf Trap National Park for the Performing Arts,77.265089,38.93854526,VA
Women's Rights National Historical Park,76.81655558,42.90817073,NY
World War II Memorial,77.0403759,38.88923917,DC
World War II Valor in the Pacific National Monument,131.3662323,36.74793528,HI
Wrangell - St Elias National Park & Preserve,142.6028439,61.4182147,AK
Wright Brothers National Memorial,75.66997163,36.01637713,NC
Wupatki National Monument,111.3957216,35.55741077,AZ
Yellowstone National Park,110.5471695,44.59824417,ID,MT,WY
Yorktown Battlefield Part of Colonial National Historical Park,76.29900672,37.38623205,VA
Yosemite National Park,119.5571873,37.84883288,CA
Yucca House National Monument,108.6861274,37.24778944,CO
Yukon - Charley Rivers National Preserve,142.7960021,65.0935608,AK
Zion National Park,113.0265138,37.29839254,UT